,Patient,Gene1,Gene2,Edge,Curvature,Response
0,A549_LUNG,FLNA,ITGB1,FLNA;ITGB1,0.7063955176738986,0
113,CALU3_LUNG,SNTA1,SGCD,SNTA1;SGCD,0.0,0
114,CALU3_LUNG,SNTA1,SSPN,SNTA1;SSPN,0.0,0
115,CALU3_LUNG,SNTA1,DAG1,SNTA1;DAG1,0.0,0
116,CALU3_LUNG,SNTA1,DMD,SNTA1;DMD,0.0,0
117,CALU3_LUNG,SNTA1,SGCA,SNTA1;SGCA,0.0,0
118,CALU3_LUNG,SNTA1,CAV3,SNTA1;CAV3,0.0,0
119,CALU3_LUNG,SGCD,SGCG,SGCD;SGCG,0.0,0
120,CALU3_LUNG,SGCD,SSPN,SGCD;SSPN,0.0,0
121,CALU3_LUNG,SGCD,SGCA,SGCD;SGCA,0.0,0
122,CALU3_LUNG,SGCD,CAV3,SGCD;CAV3,0.0,0
123,CALU3_LUNG,SGCD,SGCE,SGCD;SGCE,0.0,0
124,CALU3_LUNG,SGCD,DAG1,SGCD;DAG1,0.0,0
125,CALU3_LUNG,SGCD,DMD,SGCD;DMD,0.0,0
126,CALU3_LUNG,SGCD,SGCB,SGCD;SGCB,0.0,0
127,CALU3_LUNG,SSPN,SGCG,SSPN;SGCG,0.0,0
128,CALU3_LUNG,SSPN,DMD,SSPN;DMD,0.0,0
129,CALU3_LUNG,SSPN,DAG1,SSPN;DAG1,0.0,0
130,CALU3_LUNG,SSPN,SGCE,SSPN;SGCE,0.0,0
131,CALU3_LUNG,SSPN,SGCA,SSPN;SGCA,0.0,0
132,CALU3_LUNG,DAG1,SGCG,DAG1;SGCG,0.0,0
133,CALU3_LUNG,DAG1,SGCA,DAG1;SGCA,0.0,0
134,CALU3_LUNG,DAG1,NRXN2,DAG1;NRXN2,0.0,0
135,CALU3_LUNG,DAG1,CAV3,DAG1;CAV3,0.0,0
136,CALU3_LUNG,DAG1,DMD,DAG1;DMD,0.0,0
137,CALU3_LUNG,DAG1,SGCB,DAG1;SGCB,0.0,0
138,CALU3_LUNG,DAG1,NRXN1,DAG1;NRXN1,0.0,0
139,CALU3_LUNG,DAG1,SGCE,DAG1;SGCE,0.0,0
140,CALU3_LUNG,DMD,SGCG,DMD;SGCG,0.0,0
141,CALU3_LUNG,DMD,SGCA,DMD;SGCA,0.0,0
142,CALU3_LUNG,DMD,CAV3,DMD;CAV3,0.0,0
143,CALU3_LUNG,DMD,SGCE,DMD;SGCE,0.0,0
144,CALU3_LUNG,DMD,SGCB,DMD;SGCB,0.0,0
145,CALU3_LUNG,SGCA,SGCG,SGCA;SGCG,0.0,0
146,CALU3_LUNG,SGCA,SGCB,SGCA;SGCB,0.0,0
147,CALU3_LUNG,CAV3,SGCB,CAV3;SGCB,0.0,0
148,CALU3_LUNG,SGCG,SGCB,SGCG;SGCB,0.0,0
149,CALU3_LUNG,SGCB,SGCE,SGCB;SGCE,0.0,0
150,CALU3_LUNG,NRXN2,NLGN4Y,NRXN2;NLGN4Y,0.0,0
151,CALU3_LUNG,NRXN2,DLG4,NRXN2;DLG4,0.0,0
152,CALU3_LUNG,NRXN1,NLGN4Y,NRXN1;NLGN4Y,0.0,0
153,CALU3_LUNG,NRXN1,DLG4,NRXN1;DLG4,0.0,0
154,CALU3_LUNG,DLG4,NLGN4Y,DLG4;NLGN4Y,0.0,0
155,CALU3_LUNG,SLC1A6,SPTBN2,SLC1A6;SPTBN2,0.0,0
156,CALU3_LUNG,VTN,ITGA8,VTN;ITGA8,0.0,0
157,CALU3_LUNG,CRYAA,CRYAB,CRYAA;CRYAB,0.0,0
158,CALU3_LUNG,ITGA8,NPNT,ITGA8;NPNT,0.0,0
159,CALU3_LUNG,TET2,EBF1,TET2;EBF1,0.0,0
160,CALU3_LUNG,ACVR2B,BMP3,ACVR2B;BMP3,0.0,0
161,CALU3_LUNG,KRT13,KRT4,KRT13;KRT4,1.0,0
162,CALU3_LUNG,HRC,TRDN,HRC;TRDN,0.0,0
163,CALU3_LUNG,TRDN,CASQ2,TRDN;CASQ2,0.0,0
164,CALU3_LUNG,TRDN,FKBP1B,TRDN;FKBP1B,0.0,0
165,CALU3_LUNG,TRDN,RYR1,TRDN;RYR1,0.0,0
166,CALU3_LUNG,TRDN,RYR2,TRDN;RYR2,0.0,0
167,CALU3_LUNG,TRDN,CASQ1,TRDN;CASQ1,0.0,0
168,CALU3_LUNG,TRDN,ASPH,TRDN;ASPH,0.0,0
169,CALU3_LUNG,CASQ2,RYR2,CASQ2;RYR2,0.0,0
170,CALU3_LUNG,CASQ2,RYR1,CASQ2;RYR1,0.0,0
171,CALU3_LUNG,CASQ2,ASPH,CASQ2;ASPH,0.0,0
172,CALU3_LUNG,RYR2,RYR1,RYR2;RYR1,0.0,0
173,CALU3_LUNG,RYR2,ASPH,RYR2;ASPH,0.0,0
174,CALU3_LUNG,RYR2,CASQ1,RYR2;CASQ1,0.0,0
175,CALU3_LUNG,RYR2,FKBP1B,RYR2;FKBP1B,0.0,0
176,CALU3_LUNG,RYR1,ASPH,RYR1;ASPH,0.0,0
177,CALU3_LUNG,RYR1,CASQ1,RYR1;CASQ1,0.0,0
178,CALU3_LUNG,RYR1,FKBP1B,RYR1;FKBP1B,0.0,0
179,CALU3_LUNG,ASPH,CASQ1,ASPH;CASQ1,0.0,0
180,CALU3_LUNG,ASPH,FKBP1B,ASPH;FKBP1B,0.0,0
181,CALU3_LUNG,SECTM1,CD7,SECTM1;CD7,0.0,0
182,CALU3_LUNG,EBF1,PAX5,EBF1;PAX5,0.0,0
183,CALU3_LUNG,EBF1,ZNF423,EBF1;ZNF423,0.0,0
184,CALU3_LUNG,ANO2,CLCA4,ANO2;CLCA4,0.0,0
185,CALU3_LUNG,ANO2,CLCA2,ANO2;CLCA2,0.0,0
186,CALU6_LUNG,FLNA,ITGB1,FLNA;ITGB1,0.6956545686386295,0
187,CALU6_LUNG,FLNA,HSPB7,FLNA;HSPB7,-15.337258677075642,0
188,CALU6_LUNG,CD2,CD7,CD2;CD7,0.0,0
189,CALU6_LUNG,CD2,CD5,CD2;CD5,0.0,0
190,CALU6_LUNG,CD5,CD7,CD5;CD7,0.0,0
191,CALU6_LUNG,ANPEP,CD7,ANPEP;CD7,0.0,0
192,CALU6_LUNG,TGFB1,FN1,TGFB1;FN1,0.6772127424247729,0
193,CALU6_LUNG,TGFB1,LRRC32,TGFB1;LRRC32,-13.27629844450303,0
194,CALU6_LUNG,FN1,VTN,FN1;VTN,0.0,0
195,CALU6_LUNG,FN1,ITGB1,FN1;ITGB1,0.0,0
196,CALU6_LUNG,FN1,ITGA8,FN1;ITGA8,0.0,0
197,CALU6_LUNG,CALM3,DLG4,CALM3;DLG4,0.8229232576180303,0
198,CALU6_LUNG,CALM3,RYR1,CALM3;RYR1,0.0,0
199,CALU6_LUNG,CALM3,FKBP1B,CALM3;FKBP1B,0.0,0
200,CALU6_LUNG,CALM3,RYR2,CALM3;RYR2,0.0,0
201,CALU6_LUNG,CALM3,TRDN,CALM3;TRDN,0.0,0
202,CALU6_LUNG,ITGB1,VTN,ITGB1;VTN,0.0,0
203,CALU6_LUNG,ITGB1,ITGA8,ITGB1;ITGA8,0.0,0
204,CALU6_LUNG,ITGB1,NPNT,ITGB1;NPNT,0.0,0
205,CALU6_LUNG,FLNC,SGCD,FLNC;SGCD,0.0,0
206,CALU6_LUNG,SNTA1,SGCD,SNTA1;SGCD,0.0,0
207,CALU6_LUNG,SNTA1,SSPN,SNTA1;SSPN,0.0,0
208,CALU6_LUNG,SNTA1,DAG1,SNTA1;DAG1,0.0,0
209,CALU6_LUNG,SNTA1,DMD,SNTA1;DMD,0.0,0
210,CALU6_LUNG,SNTA1,SGCA,SNTA1;SGCA,0.0,0
211,CALU6_LUNG,SNTA1,CAV3,SNTA1;CAV3,0.0,0
212,CALU6_LUNG,SGCD,SGCG,SGCD;SGCG,0.0,0
213,CALU6_LUNG,SGCD,SSPN,SGCD;SSPN,0.0,0
214,CALU6_LUNG,SGCD,SGCA,SGCD;SGCA,0.0,0
215,CALU6_LUNG,SGCD,CAV3,SGCD;CAV3,0.0,0
216,CALU6_LUNG,SGCD,SGCE,SGCD;SGCE,0.0,0
217,CALU6_LUNG,SGCD,DAG1,SGCD;DAG1,0.0,0
218,CALU6_LUNG,SGCD,DMD,SGCD;DMD,0.0,0
219,CALU6_LUNG,SGCD,SGCB,SGCD;SGCB,0.0,0
220,CALU6_LUNG,SSPN,SGCG,SSPN;SGCG,0.0,0
221,CALU6_LUNG,SSPN,DMD,SSPN;DMD,0.0,0
222,CALU6_LUNG,SSPN,DAG1,SSPN;DAG1,0.0,0
223,CALU6_LUNG,SSPN,SGCE,SSPN;SGCE,0.0,0
224,CALU6_LUNG,SSPN,SGCA,SSPN;SGCA,0.0,0
225,CALU6_LUNG,DAG1,SGCG,DAG1;SGCG,0.0,0
226,CALU6_LUNG,DAG1,SGCA,DAG1;SGCA,0.0,0
227,CALU6_LUNG,DAG1,NRXN2,DAG1;NRXN2,0.0,0
228,CALU6_LUNG,DAG1,CAV3,DAG1;CAV3,0.0,0
229,CALU6_LUNG,DAG1,DMD,DAG1;DMD,0.0,0
230,CALU6_LUNG,DAG1,SGCB,DAG1;SGCB,0.0,0
231,CALU6_LUNG,DAG1,NRXN1,DAG1;NRXN1,0.0,0
232,CALU6_LUNG,DAG1,SGCE,DAG1;SGCE,0.0,0
233,CALU6_LUNG,DMD,SGCG,DMD;SGCG,0.0,0
234,CALU6_LUNG,DMD,SGCA,DMD;SGCA,0.0,0
235,CALU6_LUNG,DMD,CAV3,DMD;CAV3,0.0,0
236,CALU6_LUNG,DMD,SGCE,DMD;SGCE,0.0,0
237,CALU6_LUNG,DMD,SGCB,DMD;SGCB,0.0,0
238,CALU6_LUNG,SGCA,SGCG,SGCA;SGCG,0.0,0
239,CALU6_LUNG,SGCA,SGCB,SGCA;SGCB,0.0,0
240,CALU6_LUNG,CAV3,SGCB,CAV3;SGCB,0.0,0
241,CALU6_LUNG,SGCG,SGCB,SGCG;SGCB,0.0,0
242,CALU6_LUNG,SGCB,SGCE,SGCB;SGCE,0.0,0
243,CALU6_LUNG,NRXN2,NLGN4Y,NRXN2;NLGN4Y,0.0,0
244,CALU6_LUNG,NRXN2,DLG4,NRXN2;DLG4,0.0,0
245,CALU6_LUNG,NRXN1,NLGN4Y,NRXN1;NLGN4Y,0.0,0
246,CALU6_LUNG,NRXN1,DLG4,NRXN1;DLG4,0.0,0
247,CALU6_LUNG,DLG4,NLGN4Y,DLG4;NLGN4Y,0.0,0
248,CALU6_LUNG,SLC1A6,SPTBN2,SLC1A6;SPTBN2,0.0,0
249,CALU6_LUNG,VTN,ITGA8,VTN;ITGA8,0.0,0
250,CALU6_LUNG,CRYAA,CRYAB,CRYAA;CRYAB,0.0,0
251,CALU6_LUNG,ITGA8,NPNT,ITGA8;NPNT,0.0,0
252,CALU6_LUNG,TET2,EBF1,TET2;EBF1,0.6014257838147076,0
253,CALU6_LUNG,ACVR2B,BMP3,ACVR2B;BMP3,0.0,0
254,CALU6_LUNG,KRT13,KRT4,KRT13;KRT4,0.0,0
255,CALU6_LUNG,HRC,TRDN,HRC;TRDN,0.0,0
256,CALU6_LUNG,TRDN,CASQ2,TRDN;CASQ2,0.0,0
257,CALU6_LUNG,TRDN,FKBP1B,TRDN;FKBP1B,0.0,0
258,CALU6_LUNG,TRDN,RYR1,TRDN;RYR1,0.0,0
259,CALU6_LUNG,TRDN,RYR2,TRDN;RYR2,0.0,0
260,CALU6_LUNG,TRDN,CASQ1,TRDN;CASQ1,0.0,0
261,CALU6_LUNG,TRDN,ASPH,TRDN;ASPH,0.0,0
262,CALU6_LUNG,CASQ2,RYR2,CASQ2;RYR2,0.0,0
263,CALU6_LUNG,CASQ2,RYR1,CASQ2;RYR1,0.0,0
264,CALU6_LUNG,CASQ2,ASPH,CASQ2;ASPH,0.0,0
265,CALU6_LUNG,RYR2,RYR1,RYR2;RYR1,0.0,0
266,CALU6_LUNG,RYR2,ASPH,RYR2;ASPH,0.0,0
267,CALU6_LUNG,RYR2,CASQ1,RYR2;CASQ1,0.0,0
268,CALU6_LUNG,RYR2,FKBP1B,RYR2;FKBP1B,0.0,0
269,CALU6_LUNG,RYR1,ASPH,RYR1;ASPH,0.0,0
270,CALU6_LUNG,RYR1,CASQ1,RYR1;CASQ1,0.0,0
271,CALU6_LUNG,RYR1,FKBP1B,RYR1;FKBP1B,0.0,0
272,CALU6_LUNG,ASPH,CASQ1,ASPH;CASQ1,0.0,0
273,CALU6_LUNG,ASPH,FKBP1B,ASPH;FKBP1B,0.0,0
274,CALU6_LUNG,SECTM1,CD7,SECTM1;CD7,0.0,0
275,CALU6_LUNG,EBF1,PAX5,EBF1;PAX5,0.0,0
276,CALU6_LUNG,EBF1,ZNF423,EBF1;ZNF423,0.35269155697300303,0
277,CALU6_LUNG,ANO2,CLCA4,ANO2;CLCA4,0.0,0
278,CALU6_LUNG,ANO2,CLCA2,ANO2;CLCA2,0.0,0
279,CORL105_LUNG,FLNA,ITGB1,FLNA;ITGB1,0.7241360046162579,0
280,CORL105_LUNG,FLNA,HSPB7,FLNA;HSPB7,0.0,0
281,CORL105_LUNG,CD2,CD7,CD2;CD7,0.0,0
282,CORL105_LUNG,CD2,CD5,CD2;CD5,0.0,0
283,CORL105_LUNG,CD5,CD7,CD5;CD7,0.0,0
284,CORL105_LUNG,ANPEP,CD7,ANPEP;CD7,0.0,0
285,CORL105_LUNG,TGFB1,FN1,TGFB1;FN1,0.6315080039413723,0
286,CORL105_LUNG,TGFB1,LRRC32,TGFB1;LRRC32,0.0,0
287,CORL105_LUNG,FN1,VTN,FN1;VTN,0.0,0
288,CORL105_LUNG,FN1,ITGB1,FN1;ITGB1,0.0,0
289,CORL105_LUNG,FN1,ITGA8,FN1;ITGA8,0.0,0
290,CORL105_LUNG,CALM3,DLG4,CALM3;DLG4,0.5887072741456159,0
291,CORL105_LUNG,CALM3,RYR1,CALM3;RYR1,0.0,0
292,CORL105_LUNG,CALM3,FKBP1B,CALM3;FKBP1B,0.0,0
293,CORL105_LUNG,CALM3,RYR2,CALM3;RYR2,0.0,0
294,CORL105_LUNG,CALM3,TRDN,CALM3;TRDN,0.0,0
295,CORL105_LUNG,ITGB1,VTN,ITGB1;VTN,0.0,0
296,CORL105_LUNG,ITGB1,ITGA8,ITGB1;ITGA8,0.0,0
297,CORL105_LUNG,ITGB1,NPNT,ITGB1;NPNT,0.0,0
298,CORL105_LUNG,FLNC,SGCD,FLNC;SGCD,0.0,0
299,CORL105_LUNG,SNTA1,SGCD,SNTA1;SGCD,0.0,0
300,CORL105_LUNG,SNTA1,SSPN,SNTA1;SSPN,0.0,0
301,CORL105_LUNG,SNTA1,DAG1,SNTA1;DAG1,0.0,0
302,CORL105_LUNG,SNTA1,DMD,SNTA1;DMD,0.0,0
303,CORL105_LUNG,SNTA1,SGCA,SNTA1;SGCA,0.0,0
304,CORL105_LUNG,SNTA1,CAV3,SNTA1;CAV3,0.0,0
305,CORL105_LUNG,SGCD,SGCG,SGCD;SGCG,0.0,0
306,CORL105_LUNG,SGCD,SSPN,SGCD;SSPN,0.0,0
307,CORL105_LUNG,SGCD,SGCA,SGCD;SGCA,0.0,0
308,CORL105_LUNG,SGCD,CAV3,SGCD;CAV3,0.0,0
309,CORL105_LUNG,SGCD,SGCE,SGCD;SGCE,0.0,0
310,CORL105_LUNG,SGCD,DAG1,SGCD;DAG1,0.0,0
311,CORL105_LUNG,SGCD,DMD,SGCD;DMD,0.0,0
312,CORL105_LUNG,SGCD,SGCB,SGCD;SGCB,0.0,0
313,CORL105_LUNG,SSPN,SGCG,SSPN;SGCG,0.0,0
314,CORL105_LUNG,SSPN,DMD,SSPN;DMD,0.0,0
315,CORL105_LUNG,SSPN,DAG1,SSPN;DAG1,0.0,0
316,CORL105_LUNG,SSPN,SGCE,SSPN;SGCE,0.0,0
317,CORL105_LUNG,SSPN,SGCA,SSPN;SGCA,0.0,0
318,CORL105_LUNG,DAG1,SGCG,DAG1;SGCG,0.0,0
319,CORL105_LUNG,DAG1,SGCA,DAG1;SGCA,0.0,0
320,CORL105_LUNG,DAG1,NRXN2,DAG1;NRXN2,0.3265545466181037,0
321,CORL105_LUNG,DAG1,CAV3,DAG1;CAV3,0.0,0
322,CORL105_LUNG,DAG1,DMD,DAG1;DMD,0.0,0
323,CORL105_LUNG,DAG1,SGCB,DAG1;SGCB,0.0,0
324,CORL105_LUNG,DAG1,NRXN1,DAG1;NRXN1,0.23769965354334377,0
325,CORL105_LUNG,DAG1,SGCE,DAG1;SGCE,0.0,0
326,CORL105_LUNG,DMD,SGCG,DMD;SGCG,0.0,0
327,CORL105_LUNG,DMD,SGCA,DMD;SGCA,0.0,0
328,CORL105_LUNG,DMD,CAV3,DMD;CAV3,0.0,0
329,CORL105_LUNG,DMD,SGCE,DMD;SGCE,0.0,0
330,CORL105_LUNG,DMD,SGCB,DMD;SGCB,0.0,0
331,CORL105_LUNG,SGCA,SGCG,SGCA;SGCG,0.0,0
332,CORL105_LUNG,SGCA,SGCB,SGCA;SGCB,0.0,0
333,CORL105_LUNG,CAV3,SGCB,CAV3;SGCB,0.0,0
334,CORL105_LUNG,SGCG,SGCB,SGCG;SGCB,0.0,0
335,CORL105_LUNG,SGCB,SGCE,SGCB;SGCE,0.0,0
336,CORL105_LUNG,NRXN2,NLGN4Y,NRXN2;NLGN4Y,0.0,0
337,CORL105_LUNG,NRXN2,DLG4,NRXN2;DLG4,0.0,0
338,CORL105_LUNG,NRXN1,NLGN4Y,NRXN1;NLGN4Y,0.0,0
339,CORL105_LUNG,NRXN1,DLG4,NRXN1;DLG4,0.0,0
340,CORL105_LUNG,DLG4,NLGN4Y,DLG4;NLGN4Y,0.0,0
341,CORL105_LUNG,SLC1A6,SPTBN2,SLC1A6;SPTBN2,0.0,0
342,CORL105_LUNG,VTN,ITGA8,VTN;ITGA8,0.0,0
343,CORL105_LUNG,CRYAA,CRYAB,CRYAA;CRYAB,0.0,0
344,CORL105_LUNG,ITGA8,NPNT,ITGA8;NPNT,0.0,0
345,CORL105_LUNG,TET2,EBF1,TET2;EBF1,0.0,0
346,CORL105_LUNG,ACVR2B,BMP3,ACVR2B;BMP3,0.0,0
347,CORL105_LUNG,KRT13,KRT4,KRT13;KRT4,1.0,0
348,CORL105_LUNG,HRC,TRDN,HRC;TRDN,0.0,0
349,CORL105_LUNG,TRDN,CASQ2,TRDN;CASQ2,0.0,0
350,CORL105_LUNG,TRDN,FKBP1B,TRDN;FKBP1B,0.0,0
351,CORL105_LUNG,TRDN,RYR1,TRDN;RYR1,0.0,0
352,CORL105_LUNG,TRDN,RYR2,TRDN;RYR2,0.0,0
353,CORL105_LUNG,TRDN,CASQ1,TRDN;CASQ1,0.0,0
354,CORL105_LUNG,TRDN,ASPH,TRDN;ASPH,0.0,0
355,CORL105_LUNG,CASQ2,RYR2,CASQ2;RYR2,0.0,0
356,CORL105_LUNG,CASQ2,RYR1,CASQ2;RYR1,0.0,0
357,CORL105_LUNG,CASQ2,ASPH,CASQ2;ASPH,0.0,0
358,CORL105_LUNG,RYR2,RYR1,RYR2;RYR1,0.0,0
359,CORL105_LUNG,RYR2,ASPH,RYR2;ASPH,0.0,0
